Ship_Mode,Segment,State,Region,Category,Sub_Category,Sales,Discount,Profit,Discount_%
Standard Class,Consumer,Minnesota,Central,Technology,Accessories,19.99,0,6.7966,0%
Standard Class,Consumer,Minnesota,Central,Office Supplies,Labels,6.16,0,2.9568,0%
Second Class,Home Office,Texas,Central,Office Supplies,Storage,158.368,0.2,13.8572,0.1-0.4%
Standard Class,Corporate,California,West,Office Supplies,Art,20.1,0,6.633,0%
Standard Class,Corporate,California,West,Technology,Phones,73.584,0.2,8.2782,0.1-0.4%
Standard Class,Corporate,California,West,Office Supplies,Paper,6.48,0,3.1104,0%
Second Class,Consumer,Minnesota,Central,Office Supplies,Paper,12.96,0,6.2208,0%
Second Class,Consumer,Minnesota,Central,Furniture,Furnishings,53.34,0,16.5354,0%
Second Class,Consumer,Minnesota,Central,Office Supplies,Binders,32.96,0,16.1504,0%
Standard Class,Home Office,Oregon,West,Office Supplies,Binders,5.682,0.7,-3.788,0.5-0.8%
Second Class,Home Office,New York,East,Furniture,Furnishings,96.53,0,40.5426,0%
First Class,Consumer,California,West,Office Supplies,Binders,51.312,0.2,17.9592,0.1-0.4%
Standard Class,Corporate,Minnesota,Central,Office Supplies,Appliances,77.88,0,22.5852,0%
Standard Class,Home Office,Illinois,Central,Office Supplies,Paper,64.624,0.2,22.6184,0.1-0.4%
Standard Class,Home Office,Illinois,Central,Technology,Accessories,95.976,0.2,-10.7973,0.1-0.4%
Standard Class,Home Office,Illinois,Central,Office Supplies,Binders,1.788,0.8,-3.0396,0.5-0.8%
Second Class,Consumer,Minnesota,Central,Office Supplies,Paper,23.92,0,11.7208,0%
Standard Class,Consumer,Colorado,West,Technology,Accessories,238.896,0.2,-26.8758,0.1-0.4%
Standard Class,Consumer,Colorado,West,Furniture,Furnishings,102.36,0.2,-3.8385,0.1-0.4%
Standard Class,Consumer,Colorado,West,Office Supplies,Binders,36.882,0.7,-25.8174,0.5-0.8%
Standard Class,Consumer,North Carolina,South,Technology,Accessories,74.112,0.2,17.6016,0.1-0.4%
Standard Class,Consumer,North Carolina,South,Technology,Phones,27.992,0.2,2.0994,0.1-0.4%
Standard Class,Consumer,North Carolina,South,Office Supplies,Art,3.304,0.2,1.0738,0.1-0.4%
Standard Class,Home Office,Illinois,Central,Technology,Accessories,339.96,0.2,67.992,0.1-0.4%
Standard Class,Corporate,New York,East,Furniture,Furnishings,41.96,0,10.9096,0%
Standard Class,Consumer,Iowa,Central,Office Supplies,Art,75.96,0,22.788,0%
Standard Class,Consumer,Iowa,Central,Office Supplies,Binders,27.24,0,13.3476,0%
Second Class,Consumer,Ohio,East,Office Supplies,Fasteners,40.096,0.2,14.5348,0.1-0.4%
Second Class,Consumer,Ohio,East,Office Supplies,Envelopes,4.72,0.2,1.652,0.1-0.4%
Second Class,Consumer,Ohio,East,Office Supplies,Paper,23.976,0.2,7.4925,0.1-0.4%
Second Class,Consumer,Ohio,East,Office Supplies,Envelopes,130.464,0.2,44.0316,0.1-0.4%
Standard Class,Consumer,Washington,West,Furniture,Tables,787.53,0,165.3813,0%
Standard Class,Corporate,Tennessee,South,Office Supplies,Binders,157.794,0.7,-115.7156,0.5-0.8%
First Class,Consumer,Delaware,East,Furniture,Furnishings,47.04,0,18.3456,0%
First Class,Consumer,Delaware,East,Office Supplies,Binders,30.84,0,13.878,0%
First Class,Consumer,Delaware,East,Office Supplies,Storage,226.56,0,63.4368,0%
First Class,Consumer,Delaware,East,Office Supplies,Envelopes,115.02,0,51.759,0%
First Class,Consumer,Delaware,East,Technology,Phones,68.04,0,19.7316,0%
Second Class,Home Office,Texas,Central,Furniture,Chairs,600.558,0.3,-8.5794,0.1-0.4%
Standard Class,Consumer,Illinois,Central,Furniture,Tables,617.7,0.5,-407.682,0.5-0.8%
Standard Class,Consumer,Arizona,West,Office Supplies,Binders,2.388,0.7,-1.8308,0.5-0.8%
Standard Class,Consumer,Arizona,West,Office Supplies,Storage,243.992,0.2,30.499,0.1-0.4%
Second Class,Home Office,California,West,Furniture,Chairs,81.424,0.2,-9.1602,0.1-0.4%
Second Class,Home Office,California,West,Furniture,Furnishings,238.56,0,26.2416,0%
First Class,Corporate,Ohio,East,Technology,Phones,59.97,0.4,-11.994,0.1-0.4%
First Class,Corporate,Ohio,East,Office Supplies,Paper,78.304,0.2,29.364,0.1-0.4%
First Class,Corporate,Ohio,East,Office Supplies,Fasteners,21.456,0.2,6.9732,0.1-0.4%
Standard Class,Consumer,California,West,Office Supplies,Paper,20.04,0,9.6192,0%
Standard Class,Consumer,California,West,Office Supplies,Paper,35.44,0,16.6568,0%
Standard Class,Consumer,California,West,Office Supplies,Art,11.52,0,3.456,0%
Standard Class,Consumer,California,West,Office Supplies,Fasteners,4.02,0,1.9698,0%
Standard Class,Consumer,California,West,Office Supplies,Binders,76.176,0.2,26.6616,0.1-0.4%
Standard Class,Consumer,California,West,Office Supplies,Supplies,65.88,0,18.4464,0%
Standard Class,Consumer,California,West,Furniture,Furnishings,43.12,0,20.6976,0%
Second Class,Corporate,Pennsylvania,East,Furniture,Furnishings,82.8,0.2,10.35,0.1-0.4%
Standard Class,Corporate,California,West,Office Supplies,Art,8.82,0,2.3814,0%
Standard Class,Corporate,California,West,Office Supplies,Envelopes,10.86,0,5.1042,0%
Standard Class,Corporate,California,West,Office Supplies,Paper,143.7,0,68.976,0%
Standard Class,Consumer,Missouri,Central,Office Supplies,Appliances,839.43,0,218.2518,0%
Standard Class,Consumer,California,West,Office Supplies,Storage,671.93,0,20.1579,0%
Standard Class,Home Office,Ohio,East,Furniture,Furnishings,93.888,0.2,12.9096,0.1-0.4%
Standard Class,Corporate,Wisconsin,Central,Technology,Phones,384.45,0,103.8015,0%
Standard Class,Corporate,Wisconsin,Central,Technology,Phones,149.97,0,5.9988,0%
Standard Class,Corporate,Wisconsin,Central,Furniture,Chairs,1951.84,0,585.552,0%
Standard Class,Corporate,Wisconsin,Central,Office Supplies,Binders,171.55,0,80.6285,0%
First Class,Home Office,Arizona,West,Office Supplies,Appliances,157.92,0.2,17.766,0.1-0.4%
First Class,Home Office,Arizona,West,Technology,Phones,203.184,0.2,15.2388,0.1-0.4%
First Class,Corporate,California,West,Office Supplies,Paper,58.38,0,26.271,0%
First Class,Corporate,California,West,Office Supplies,Paper,105.52,0,48.5392,0%
First Class,Corporate,California,West,Office Supplies,Storage,80.88,0,21.0288,0%
Standard Class,Home Office,Washington,West,Office Supplies,Art,6.63,0,1.7901,0%
Second Class,Consumer,Washington,West,Furniture,Chairs,457.568,0.2,51.4764,0.1-0.4%
Standard Class,Consumer,Oklahoma,Central,Office Supplies,Labels,14.62,0,6.8714,0%
Standard Class,Consumer,Oklahoma,Central,Technology,Phones,944.93,0,236.2325,0%
First Class,Consumer,California,West,Office Supplies,Paper,5.98,0,2.691,0%
Second Class,Consumer,Pennsylvania,East,Technology,Accessories,54.384,0.2,1.3596,0.1-0.4%
Standard Class,Consumer,New Mexico,West,Office Supplies,Envelopes,28.4,0,13.348,0%
Standard Class,Consumer,Washington,West,Office Supplies,Binders,27.68,0.2,9.688,0.1-0.4%
Standard Class,Consumer,Texas,Central,Office Supplies,Art,9.936,0.2,2.7324,0.1-0.4%
Standard Class,Consumer,Texas,Central,Technology,Machines,8159.952,0.4,-1359.992,0.1-0.4%
Standard Class,Consumer,Texas,Central,Office Supplies,Storage,275.928,0.2,-58.6347,0.1-0.4%
Standard Class,Consumer,Texas,Central,Furniture,Chairs,1740.06,0.3,-24.858,0.1-0.4%
Standard Class,Consumer,Texas,Central,Office Supplies,Art,32.064,0.2,6.8136,0.1-0.4%
Standard Class,Consumer,Texas,Central,Office Supplies,Appliances,177.98,0.8,-453.849,0.5-0.8%
Standard Class,Consumer,Texas,Central,Technology,Phones,143.976,0.2,8.9985,0.1-0.4%
Standard Class,Consumer,California,West,Office Supplies,Paper,20.94,0,9.8418,0%
Standard Class,Consumer,California,West,Office Supplies,Paper,110.96,0,53.2608,0%
Standard Class,Consumer,California,West,Furniture,Chairs,340.144,0.2,21.259,0.1-0.4%
Standard Class,Corporate,Illinois,Central,Office Supplies,Appliances,52.448,0.8,-131.12,0.5-0.8%
Standard Class,Corporate,Illinois,Central,Office Supplies,Labels,20.16,0.2,6.552,0.1-0.4%
Second Class,Consumer,Texas,Central,Office Supplies,Appliances,97.264,0.8,-243.16,0.5-0.8%
Second Class,Consumer,Ohio,East,Furniture,Chairs,396.802,0.3,-11.3372,0.1-0.4%
Second Class,Consumer,Ohio,East,Office Supplies,Supplies,15.88,0.2,-3.7715,0.1-0.4%
Standard Class,Home Office,New York,East,Office Supplies,Art,3.28,0,1.4104,0%
Second Class,Corporate,Illinois,Central,Office Supplies,Storage,24.816,0.2,1.8612,0.1-0.4%
Second Class,Corporate,Illinois,Central,Technology,Accessories,408.744,0.2,76.6395,0.1-0.4%
Second Class,Home Office,Louisiana,South,Technology,Phones,503.96,0,131.0296,0%
Second Class,Home Office,Louisiana,South,Technology,Phones,149.95,0,41.986,0%
Second Class,Home Office,Louisiana,South,Technology,Accessories,29,0,7.25,0%
Standard Class,Consumer,Connecticut,East,Office Supplies,Binders,7.16,0,3.4368,0%
Standard Class,Home Office,California,West,Technology,Accessories,176.8,0,22.984,0%
Standard Class,Corporate,Texas,Central,Office Supplies,Storage,37.224,0.2,3.7224,0.1-0.4%
Standard Class,Corporate,Texas,Central,Office Supplies,Paper,20.016,0.2,6.255,0.1-0.4%
First Class,Home Office,New York,East,Furniture,Bookcases,899.136,0.2,112.392,0.1-0.4%
First Class,Home Office,New York,East,Technology,Phones,71.76,0,20.0928,0%
First Class,Home Office,New York,East,Office Supplies,Paper,51.84,0,24.8832,0%
First Class,Home Office,New York,East,Furniture,Bookcases,626.352,0.2,46.9764,0.1-0.4%
First Class,Home Office,New York,East,Office Supplies,Art,19.9,0,6.567,0%
Standard Class,Corporate,California,West,Office Supplies,Envelopes,14.28,0,6.7116,0%
Standard Class,Consumer,Ohio,East,Office Supplies,Art,7.408,0.2,1.2038,0.1-0.4%
Standard Class,Consumer,Ohio,East,Office Supplies,Art,6.048,0.2,1.5876,0.1-0.4%
Standard Class,Home Office,New Jersey,East,Office Supplies,Storage,46.26,0,12.0276,0%
Standard Class,Corporate,Pennsylvania,East,Office Supplies,Binders,2.946,0.7,-2.2586,0.5-0.8%
Standard Class,Corporate,Pennsylvania,East,Office Supplies,Paper,16.056,0.2,5.8203,0.1-0.4%
Standard Class,Consumer,Ohio,East,Office Supplies,Paper,21.744,0.2,6.795,0.1-0.4%
First Class,Consumer,Colorado,West,Furniture,Tables,218.75,0.5,-161.875,0.5-0.8%
First Class,Consumer,Colorado,West,Office Supplies,Appliances,2.6,0.2,0.2925,0.1-0.4%
Second Class,Consumer,Texas,Central,Office Supplies,Appliances,66.284,0.8,-178.9668,0.5-0.8%
Standard Class,Corporate,Tennessee,South,Furniture,Furnishings,35.168,0.2,9.6712,0.1-0.4%
Standard Class,Consumer,California,West,Technology,Phones,444.768,0.2,44.4768,0.1-0.4%
Standard Class,Consumer,Michigan,Central,Office Supplies,Storage,83.92,0,5.8744,0%
Standard Class,Consumer,Michigan,Central,Technology,Phones,131.98,0,35.6346,0%
Standard Class,Consumer,Michigan,Central,Office Supplies,Binders,15.92,0,7.4824,0%
Standard Class,Consumer,Michigan,Central,Office Supplies,Fasteners,52.29,0,16.2099,0%
Standard Class,Consumer,Michigan,Central,Office Supplies,Storage,91.99,0,3.6796,0%
Second Class,Corporate,Texas,Central,Technology,Accessories,20.8,0.2,6.5,0.1-0.4%
Standard Class,Corporate,Ohio,East,Office Supplies,Labels,23.68,0.2,8.88,0.1-0.4%
Standard Class,Corporate,Ohio,East,Furniture,Bookcases,452.45,0.5,-244.323,0.5-0.8%
Standard Class,Corporate,Ohio,East,Technology,Phones,62.982,0.4,-14.6958,0.1-0.4%
Standard Class,Corporate,Ohio,East,Technology,Machines,1188,0.7,-950.4,0.5-0.8%
Standard Class,Corporate,Ohio,East,Technology,Accessories,89.584,0.2,4.4792,0.1-0.4%
Standard Class,Consumer,California,West,Office Supplies,Storage,93.06,0,26.0568,0%
Standard Class,Consumer,California,West,Technology,Phones,302.376,0.2,22.6782,0.1-0.4%
First Class,Consumer,Ohio,East,Office Supplies,Fasteners,5.584,0.2,1.8148,0.1-0.4%
First Class,Consumer,Ohio,East,Office Supplies,Paper,22.704,0.2,8.2302,0.1-0.4%
First Class,Consumer,Ohio,East,Office Supplies,Binders,19.776,0.7,-13.8432,0.5-0.8%
First Class,Consumer,Ohio,East,Furniture,Furnishings,72.704,0.2,19.0848,0.1-0.4%
First Class,Consumer,Ohio,East,Technology,Machines,479.988,0.7,-383.9904,0.5-0.8%
First Class,Consumer,Ohio,East,Office Supplies,Art,27.168,0.2,2.7168,0.1-0.4%
Standard Class,Corporate,Michigan,Central,Office Supplies,Art,2.2,0,0.968,0%
Standard Class,Corporate,Michigan,Central,Furniture,Tables,622.45,0,136.939,0%
Standard Class,Corporate,Michigan,Central,Office Supplies,Storage,21.98,0,0.2198,0%
Standard Class,Consumer,Tennessee,South,Furniture,Chairs,161.568,0.2,-28.2744,0.1-0.4%
Standard Class,Consumer,Tennessee,South,Furniture,Chairs,389.696,0.2,43.8408,0.1-0.4%
Standard Class,Corporate,North Carolina,South,Office Supplies,Binders,18.648,0.7,-12.432,0.5-0.8%
Standard Class,Home Office,Florida,South,Furniture,Tables,233.86,0.45,-102.048,0.5-0.8%
Standard Class,Home Office,Florida,South,Furniture,Tables,620.6145,0.45,-248.2458,0.5-0.8%
Standard Class,Home Office,Florida,South,Office Supplies,Binders,5.328,0.7,-3.552,0.5-0.8%
Standard Class,Home Office,Florida,South,Furniture,Furnishings,258.072,0.2,0,0.1-0.4%
Standard Class,Home Office,Florida,South,Technology,Accessories,617.976,0.2,-7.7247,0.1-0.4%
Standard Class,Corporate,California,West,Office Supplies,Paper,10.56,0,4.752,0%
Second Class,Consumer,Illinois,Central,Office Supplies,Paper,25.92,0.2,9.396,0.1-0.4%
Second Class,Consumer,Illinois,Central,Furniture,Furnishings,419.68,0.6,-356.728,0.5-0.8%
Second Class,Consumer,Illinois,Central,Furniture,Furnishings,11.688,0.6,-4.6752,0.5-0.8%
Second Class,Consumer,Illinois,Central,Technology,Phones,31.984,0.2,11.1944,0.1-0.4%
Second Class,Consumer,Illinois,Central,Furniture,Tables,177.225,0.5,-120.513,0.5-0.8%
Second Class,Consumer,Illinois,Central,Furniture,Furnishings,4.044,0.6,-2.8308,0.5-0.8%
Second Class,Consumer,Illinois,Central,Office Supplies,Art,7.408,0.2,1.2038,0.1-0.4%
Second Class,Home Office,Minnesota,Central,Furniture,Chairs,2001.86,0,580.5394,0%
Second Class,Home Office,Minnesota,Central,Office Supplies,Storage,166.72,0,41.68,0%
Second Class,Home Office,Minnesota,Central,Office Supplies,Paper,47.88,0,23.94,0%
Second Class,Home Office,Minnesota,Central,Office Supplies,Appliances,1503.25,0,496.0725,0%
Second Class,Home Office,Minnesota,Central,Office Supplies,Paper,25.92,0,12.4416,0%
Second Class,Consumer,California,West,Furniture,Chairs,321.568,0.2,28.1372,0.1-0.4%
Standard Class,Consumer,California,West,Office Supplies,Paper,7.61,0,3.5767,0%
Standard Class,Consumer,California,West,Technology,Accessories,3347.37,0,636.0003,0%
First Class,Consumer,New York,East,Office Supplies,Storage,80.58,0,22.5624,0%
First Class,Consumer,New York,East,Office Supplies,Envelopes,361.92,0,162.864,0%
Standard Class,Corporate,Illinois,Central,Furniture,Furnishings,12.132,0.6,-8.4924,0.5-0.8%
Standard Class,Corporate,Illinois,Central,Office Supplies,Storage,82.368,0.2,-19.5624,0.1-0.4%
Standard Class,Corporate,Illinois,Central,Office Supplies,Storage,53.92,0.2,4.044,0.1-0.4%
Standard Class,Corporate,Illinois,Central,Technology,Phones,647.904,0.2,56.6916,0.1-0.4%
Second Class,Consumer,New York,East,Technology,Accessories,20.37,0,6.9258,0%
Second Class,Consumer,New York,East,Office Supplies,Storage,221.55,0,6.6465,0%
Second Class,Consumer,New York,East,Office Supplies,Binders,17.52,0.2,6.132,0.1-0.4%
Standard Class,Corporate,Texas,Central,Office Supplies,Appliances,1.624,0.8,-4.466,0.5-0.8%
Second Class,Corporate,Texas,Central,Technology,Machines,3059.982,0.4,-509.997,0.1-0.4%
Second Class,Corporate,Texas,Central,Technology,Machines,2519.958,0.4,-251.9958,0.1-0.4%
Standard Class,Consumer,Illinois,Central,Technology,Phones,328.224,0.2,28.7196,0.1-0.4%
Standard Class,Consumer,California,West,Technology,Accessories,79.9,0,35.156,0%
Standard Class,Corporate,North Carolina,South,Office Supplies,Art,14.016,0.2,4.7304,0.1-0.4%
Standard Class,Consumer,New Jersey,East,Office Supplies,Fasteners,7.56,0,0.3024,0%
Standard Class,Corporate,Ohio,East,Office Supplies,Storage,37.208,0.2,-7.4416,0.1-0.4%
Standard Class,Corporate,Ohio,East,Office Supplies,Envelopes,57.576,0.2,21.591,0.1-0.4%
Second Class,Corporate,California,West,Office Supplies,Storage,725.84,0,210.4936,0%
First Class,Consumer,California,West,Technology,Accessories,209.93,0,92.3692,0%
First Class,Consumer,California,West,Furniture,Furnishings,5.28,0,2.3232,0%
First Class,Consumer,California,West,Office Supplies,Binders,10.92,0.2,4.095,0.1-0.4%
First Class,Corporate,California,West,Office Supplies,Paper,8.82,0,4.0572,0%
First Class,Corporate,California,West,Office Supplies,Art,5.98,0,1.5548,0%
Standard Class,Corporate,Pennsylvania,East,Office Supplies,Paper,11.648,0.2,4.0768,0.1-0.4%
Standard Class,Corporate,Pennsylvania,East,Office Supplies,Paper,18.176,0.2,5.9072,0.1-0.4%
Standard Class,Corporate,Pennsylvania,East,Office Supplies,Storage,59.712,0.2,5.9712,0.1-0.4%
Standard Class,Corporate,Pennsylvania,East,Office Supplies,Labels,24.84,0.2,8.694,0.1-0.4%
Second Class,Consumer,Texas,Central,Office Supplies,Binders,2.08,0.8,-3.432,0.5-0.8%
Second Class,Consumer,Texas,Central,Technology,Phones,1114.4,0.2,376.11,0.1-0.4%
Standard Class,Consumer,California,West,Furniture,Tables,1038.84,0.2,51.942,0.1-0.4%
Standard Class,Consumer,Oregon,West,Office Supplies,Paper,141.76,0.2,47.844,0.1-0.4%
Standard Class,Consumer,Oregon,West,Technology,Accessories,239.8,0.2,47.96,0.1-0.4%
Standard Class,Consumer,Oregon,West,Office Supplies,Paper,31.104,0.2,10.8864,0.1-0.4%
Second Class,Corporate,Florida,South,Office Supplies,Binders,254.058,0.7,-169.372,0.5-0.8%
Second Class,Corporate,Florida,South,Office Supplies,Appliances,194.528,0.2,24.316,0.1-0.4%
Second Class,Corporate,Florida,South,Office Supplies,Supplies,961.48,0.2,-204.3145,0.1-0.4%
Second Class,Home Office,Ohio,East,Office Supplies,Fasteners,19.096,0.2,6.6836,0.1-0.4%
Second Class,Home Office,Ohio,East,Office Supplies,Labels,18.496,0.2,6.2424,0.1-0.4%
Second Class,Home Office,Ohio,East,Technology,Accessories,255.984,0.2,54.3966,0.1-0.4%
Second Class,Home Office,Ohio,East,Furniture,Bookcases,86.97,0.5,-48.7032,0.5-0.8%
First Class,Corporate,Colorado,West,Furniture,Furnishings,300.416,0.2,78.8592,0.1-0.4%
First Class,Corporate,Colorado,West,Furniture,Chairs,230.352,0.2,20.1558,0.1-0.4%
First Class,Corporate,Colorado,West,Furniture,Furnishings,218.352,0.2,-24.5646,0.1-0.4%
First Class,Corporate,Colorado,West,Office Supplies,Binders,78.6,0.7,-62.88,0.5-0.8%
First Class,Corporate,Colorado,West,Office Supplies,Fasteners,27.552,0.2,9.2988,0.1-0.4%
Standard Class,Corporate,New Jersey,East,Office Supplies,Paper,32.4,0,15.552,0%
Standard Class,Corporate,New Jersey,East,Office Supplies,Storage,1082.48,0,10.8248,0%
Standard Class,Corporate,New Jersey,East,Office Supplies,Paper,56.91,0,27.3168,0%
